"symbol","loss","make","fuel","aspir","doors","style","drive","eng_loc","wb","length","width","height","weight","eng_type","cylinders","eng_cc","fuel.sys","bore","stroke","comp.ratio","hp","rpm","city_mpg","hw_mpg","price"
3,,"alfa-romero","gas","std","two","convertible","rwd","front",88.6,168.8,64.1,48.8,2548,"dohc","four",130,"mpfi",3.47,2.68,9,111,5000,21,27,13495
3,,"alfa-romero","gas","std","two","convertible","rwd","front",88.6,168.8,64.1,48.8,2548,"dohc","four",130,"mpfi",3.47,2.68,9,111,5000,21,27,16500
1,,"alfa-romero","gas","std","two","hatchback","rwd","front",94.5,171.2,65.5,52.4,2823,"ohcv","six",152,"mpfi",2.68,3.47,9,154,5000,19,26,16500
2,164,"audi","gas","std","four","sedan","fwd","front",99.8,176.6,66.2,54.3,2337,"ohc","four",109,"mpfi",3.19,3.4,10,102,5500,24,30,13950
2,164,"audi","gas","std","four","sedan","4wd","front",99.4,176.6,66.4,54.3,2824,"ohc","five",136,"mpfi",3.19,3.4,8,115,5500,18,22,17450
2,,"audi","gas","std","two","sedan","fwd","front",99.8,177.3,66.3,53.1,2507,"ohc","five",136,"mpfi",3.19,3.4,8.5,110,5500,19,25,15250
1,158,"audi","gas","std","four","sedan","fwd","front",105.8,192.7,71.4,55.7,2844,"ohc","five",136,"mpfi",3.19,3.4,8.5,110,5500,19,25,17710
1,,"audi","gas","std","four","wagon","fwd","front",105.8,192.7,71.4,55.7,2954,"ohc","five",136,"mpfi",3.19,3.4,8.5,110,5500,19,25,18920
1,158,"audi","gas","turbo","four","sedan","fwd","front",105.8,192.7,71.4,55.9,3086,"ohc","five",131,"mpfi",3.13,3.4,8.3,140,5500,17,20,23875
0,,"audi","gas","turbo","two","hatchback","4wd","front",99.5,178.2,67.9,52,3053,"ohc","five",131,"mpfi",3.13,3.4,7,160,5500,16,22,
2,192,"bmw","gas","std","two","sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc","four",108,"mpfi",3.5,2.8,8.8,101,5800,23,29,16430
0,192,"bmw","gas","std","four","sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc","four",108,"mpfi",3.5,2.8,8.8,101,5800,23,29,16925
0,188,"bmw","gas","std","two","sedan","rwd","front",101.2,176.8,64.8,54.3,2710,"ohc","six",164,"mpfi",3.31,3.19,9,121,4250,21,28,20970
0,188,"bmw","gas","std","four","sedan","rwd","front",101.2,176.8,64.8,54.3,2765,"ohc","six",164,"mpfi",3.31,3.19,9,121,4250,21,28,21105
1,,"bmw","gas","std","four","sedan","rwd","front",103.5,189,66.9,55.7,3055,"ohc","six",164,"mpfi",3.31,3.19,9,121,4250,20,25,24565
0,,"bmw","gas","std","four","sedan","rwd","front",103.5,189,66.9,55.7,3230,"ohc","six",209,"mpfi",3.62,3.39,8,182,5400,16,22,30760
0,,"bmw","gas","std","two","sedan","rwd","front",103.5,193.8,67.9,53.7,3380,"ohc","six",209,"mpfi",3.62,3.39,8,182,5400,16,22,41315
0,,"bmw","gas","std","four","sedan","rwd","front",110,197,70.9,56.3,3505,"ohc","six",209,"mpfi",3.62,3.39,8,182,5400,15,20,36880
2,121,"chevrolet","gas","std","two","hatchback","fwd","front",88.4,141.1,60.3,53.2,1488,"l","three",61,"2bbl",2.91,3.03,9.5,48,5100,47,53,5151
1,98,"chevrolet","gas","std","two","hatchback","fwd","front",94.5,155.9,63.6,52,1874,"ohc","four",90,"2bbl",3.03,3.11,9.6,70,5400,38,43,6295
0,81,"chevrolet","gas","std","four","sedan","fwd","front",94.5,158.8,63.6,52,1909,"ohc","four",90,"2bbl",3.03,3.11,9.6,70,5400,38,43,6575
1,118,"dodge","gas","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1876,"ohc","four",90,"2bbl",2.97,3.23,9.41,68,5500,37,41,5572
1,118,"dodge","gas","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1876,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6377
1,118,"dodge","gas","turbo","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,2128,"ohc","four",98,"mpfi",3.03,3.39,7.6,102,5500,24,30,7957
1,148,"dodge","gas","std","four","hatchback","fwd","front",93.7,157.3,63.8,50.6,1967,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6229
1,148,"dodge","gas","std","four","sedan","fwd","front",93.7,157.3,63.8,50.6,1989,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6692
1,148,"dodge","gas","std","four","sedan","fwd","front",93.7,157.3,63.8,50.6,1989,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,7609
1,148,"dodge","gas","turbo",,"sedan","fwd","front",93.7,157.3,63.8,50.6,2191,"ohc","four",98,"mpfi",3.03,3.39,7.6,102,5500,24,30,8558
-1,110,"dodge","gas","std","four","wagon","fwd","front",103.3,174.6,64.6,59.8,2535,"ohc","four",122,"2bbl",3.34,3.46,8.5,88,5000,24,30,8921
3,145,"dodge","gas","turbo","two","hatchback","fwd","front",95.9,173.2,66.3,50.2,2811,"ohc","four",156,"mfi",3.6,3.9,7,145,5000,19,24,12964
2,137,"honda","gas","std","two","hatchback","fwd","front",86.6,144.6,63.9,50.8,1713,"ohc","four",92,"1bbl",2.91,3.41,9.6,58,4800,49,54,6479
2,137,"honda","gas","std","two","hatchback","fwd","front",86.6,144.6,63.9,50.8,1819,"ohc","four",92,"1bbl",2.91,3.41,9.2,76,6000,31,38,6855
1,101,"honda","gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1837,"ohc","four",79,"1bbl",2.91,3.07,10.1,60,5500,38,42,5399
1,101,"honda","gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1940,"ohc","four",92,"1bbl",2.91,3.41,9.2,76,6000,30,34,6529
1,101,"honda","gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1956,"ohc","four",92,"1bbl",2.91,3.41,9.2,76,6000,30,34,7129
0,110,"honda","gas","std","four","sedan","fwd","front",96.5,163.4,64,54.5,2010,"ohc","four",92,"1bbl",2.91,3.41,9.2,76,6000,30,34,7295
0,78,"honda","gas","std","four","wagon","fwd","front",96.5,157.1,63.9,58.3,2024,"ohc","four",92,"1bbl",2.92,3.41,9.2,76,6000,30,34,7295
